time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,145.0603789,3.557499886,9.734999657,0.393749982,90.36805945,23.73146647
1.72E+18,145.0706331,3.633749962,9.65874958,0.202500001,90.36805945,23.73146647
1.72E+18,145.080887,3.404999971,9.811249733,-0.293749988,90.36805945,23.73146647
1.72E+18,145.0911411,3.251250029,9.734999657,-0.561249971,90.36805945,23.73146647
1.72E+18,145.101394,3.289999962,9.849999428,-0.523750007,90.36805945,23.73146647
1.72E+18,145.1116479,3.328749895,10.42249966,-0.141249999,90.36805945,23.73146647
1.72E+18,145.1219019,3.213749886,10.88124943,-0.026249999,90.36805945,23.73146647
1.72E+18,145.132156,3.022500038,11.41624928,0.126249999,90.36805945,23.73146647
1.72E+18,145.1424102,2.831249952,11.875,0.126249999,90.36805945,23.73146647
1.72E+18,145.1526638,2.411249876,12.33374977,0.049999997,90.36805945,23.73146647
1.72E+18,145.162918,2.258749962,12.44874954,-0.103749998,90.36805945,23.73146647
1.72E+18,145.1731721,2.296249866,12.40999985,-0.371250004,90.36805945,23.73146647
1.72E+18,145.183426,2.983749866,11.1875,-0.523750007,90.36805945,23.73146647
1.72E+18,145.1936799,3.098749876,10.15499973,-0.293749988,90.36805945,23.73146647
1.72E+18,145.2039331,2.946249962,9.391249657,-0.103749998,90.36805945,23.73146647
1.72E+18,145.2141868,2.869999886,8.473750114,0.163749993,90.36805945,23.73146647
1.72E+18,145.2244409,3.061249971,7.977499962,0.661249995,90.36805945,23.73146647
1.72E+18,145.2346951,3.022500038,8.321249962,1.233749986,90.36805945,23.73146647
1.72E+18,145.2449492,2.869999886,8.894999504,1.616249919,90.36805945,23.73146647
1.72E+18,145.2552029,2.258749962,9.543749809,1.731249928,90.36805945,23.73146647
1.72E+18,145.265457,1.914999962,9.773749352,1.616249919,90.36805945,23.73146647
1.72E+18,145.2757112,1.569999933,10.07874966,1.387499928,90.36805945,23.73146647
1.72E+18,145.2859648,1.188750029,10.34624958,1.196249962,90.36805945,23.73146647
1.72E+18,145.296219,0.538749993,10.88124943,0.928749979,90.36805945,23.73146647
1.72E+18,145.3064731,0.347499996,11.03374958,0.966250002,90.36805945,23.73146647
1.72E+18,145.3167258,0.194999993,10.9574995,1.004999995,90.36805945,23.73146647
1.72E+18,145.32698,0.00375,10.46124935,0.698749959,90.36805945,23.73146647
1.72E+18,145.3372341,-0.072499998,10.23250008,0.393749982,90.36805945,23.73146647
1.72E+18,145.3474878,-0.148749992,9.849999428,0.163749993,90.36805945,23.73146647
1.72E+18,145.3577419,-0.224999994,9.697500229,-0.256249994,90.36805945,23.73146647
1.72E+18,145.3679961,0.00375,9.697500229,-0.44749999,90.36805945,23.73146647
1.72E+18,145.37825,0.15625,9.811249733,-0.599999964,90.36805945,23.73146647
1.72E+18,145.3885039,0.232500002,9.773749352,-0.408749998,90.36805945,23.73146647
1.72E+18,145.3987581,0.653750002,9.162499428,-0.026249999,90.36805945,23.73146647
1.72E+18,145.4090122,0.882499993,8.932499886,0.126249999,90.36805945,23.73146647
1.72E+18,145.4192659,1.034999967,8.62749958,0.317499995,90.36805945,23.73146647
1.72E+18,145.429519,1.379999995,8.053750038,0.317499995,90.36805945,23.73146647
1.72E+18,145.4397729,1.456249952,7.901249886,0.278750002,90.36805945,23.73146647
1.72E+18,145.4500269,1.456249952,7.747499943,0.163749993,90.36805945,23.73146647
1.72E+18,145.460281,1.379999995,7.710000038,0.163749993,90.36805945,23.73146647
1.72E+18,145.4705352,1.30250001,8.130000114,0.01125,90.36805945,23.73146647
1.72E+18,145.4807891,1.188750029,8.282500267,-0.026249999,90.36805945,23.73146647
1.72E+18,145.491043,1.226249933,8.473750114,-0.103749998,90.36805945,23.73146647
1.72E+18,145.5012971,1.417500019,9.085000038,-0.026249999,90.36805945,23.73146647
1.72E+18,145.511551,1.493749976,9.391249657,-0.179999992,90.36805945,23.73146647
1.72E+18,145.5218049,1.608749986,9.619999886,-0.217500001,90.36805945,23.73146647
