,time,x,y,z,Latitude,Longitude
368,3.680454688,-1.103399992,4.136099815,-0.62650001,23.7672478,90.3538692
369,3.690453125,-1.128499985,4.604599953,-1.785099983,23.7672651,90.3538789
370,3.700454688,-1.15139997,3.60619998,-1.373099923,23.7672564,90.3538915
371,3.710464063,-1.067999959,1.796899915,-1.74879992,23.7672632,90.3539047
372,3.720454688,-0.617500007,0.0436,-2.797899961,23.7672695,90.3539143
373,3.730454688,0.190299988,-1.671800017,-2.611799955,23.7672481,90.3539285
374,3.740454688,0.757699966,-2.831499815,-1.875199914,23.7672548,90.3537406
375,3.750495313,0.944700003,-3.165699959,-1.572199941,23.7672534,90.3537552
376,3.760464063,0.999799967,-3.454099894,-0.833399952,23.7672668,90.3537659
377,3.77045625,1.070799947,-4.138700008,-1.015900016,23.7672617,90.3537815
378,3.78045625,0.689499974,-4.854499817,-2.158200026,23.7672656,90.3537923
379,3.790453125,-0.407299995,-5.072700024,-3.466099977,23.7672535,90.3538078
380,3.800454688,-1.485099912,-4.867000103,-3.6322999,23.7672511,90.3538165
381,3.81045625,-2.645099878,-3.651399851,-2.724999905,23.7672694,90.3538278
382,3.820454688,-2.584100008,-1.808999896,-1.264899969,23.7672472,90.3538354
383,3.830454688,-1.319700003,-0.310399979,0.188299999,23.7672589,90.3538496
384,3.840453125,-0.645199955,0.183899999,0.298399985,23.7672637,90.3538623
385,3.850451563,-1.768599987,0.183299989,-2.662299871,23.7672545,90.3538748
386,3.860465625,-3.891799927,0.3292,-6.247299671,23.7672611,90.3538859
387,3.870454688,-5.151899815,1.047799945,-5.924999714,23.7672596,90.3539001
388,3.880451563,-3.027599812,2.176399946,0.138999999,23.7672682,90.3539114
389,3.890453125,1.471699953,3.401199818,4.188699722,23.7672497,90.3539237
390,3.900454688,4.483500004,3.924299955,0.861099958,23.7672671,90.3539334
391,3.910464063,3.251499891,3.457799911,-3.566799879,23.7672543,90.3537424
392,3.920453125,-0.897799969,2.263299942,-4.371999741,23.7672647,90.3537512
393,3.930496875,-2.086999893,-0.349099994,-4.321399689,23.7672685,90.3537689
394,3.940454688,-1.314899921,-2.173799992,-2.122499943,23.7672699,90.3537802
395,3.950454688,-0.1734,-0.717299998,2.654199839,23.7672649,90.3537948
396,3.960460938,2.117399931,1.537799954,4.341199875,23.7672528,90.3538059
397,3.970454688,2.66050005,2.680999994,3.778699875,23.7672509,90.3538122
398,3.980454688,1.881500006,2.368000031,2.515799999,23.7672696,90.3538245
399,3.990453125,1.274500012,2.209100008,2.300699949,23.7672462,90.3538332
400,4.000453125,0.493000001,3.552999973,3.426699877,23.7672574,90.3538461
401,4.010465625,-0.18599999,5.277499676,3.789699793,23.7672618,90.3538587
402,4.020451563,-0.207899988,5.815700054,2.937599897,23.7672557,90.3538736
403,4.030453125,0.330799997,4.98939991,2.213099957,23.7672639,90.3538849
404,4.040454688,-0.139599994,4.266599655,1.991699934,23.7672591,90.3538967
405,4.050454688,-0.978299975,3.692399979,1.606999993,23.7672688,90.3539084
406,4.060464063,-1.287500024,2.980799913,0.0977,23.7672499,90.3539208
407,4.070495313,-1.040199995,1.681999922,-1.337299943,23.7672664,90.3539309
408,4.080454688,-0.861799955,0.458299995,-1.91899991,23.7672531,90.3537448
409,4.090453125,-0.799499989,-0.138300002,-2.601399899,23.7672654,90.3537569
410,4.100454688,-0.920799971,-0.097999997,-3.816699982,23.7672678,90.3537693
411,4.110457813,-1.255800009,0.81129998,-4.693099976,23.7672697,90.3537798
412,4.120495313,-1.458799958,2.314100027,-4.65389967,23.7672653,90.3537936
413,4.130454688,-1.681399941,3.846899986,-3.124300003,23.7672523,90.3538043
414,4.140453125,-1.387899995,4.82349968,0.754199982,23.7672515,90.3538128
415,4.15049375,-0.3935,4.506199837,5.160199642,23.7672698,90.3538239
416,4.16045625,1.331200004,2.919800043,7.403199673,23.7672476,90.3538324
417,4.170451563,2.719199896,1.603199959,6.16079998,23.7672581,90.3538449
418,4.18045625,3.423599958,1.147199988,1.871399999,23.7672623,90.3538574
419,4.190454688,3.151599884,1.203499913,-2.479500055,23.7672565,90.3538718
